date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2013/10/23,2448.2,2418.8,2409.2,2475.6,840645,71744,0.853181079
2013/10/24,2412.8,2405.4,2395.4,2424.8,740692,74587,0.853181079
2013/10/25,2405.4,2360.6,2347.2,2412.6,812595,74187,0.853181079
2013/10/28,2364.4,2363.6,2348.6,2374,599572,72429,0.853181079
2013/10/29,2367,2368.2,2328.8,2405.8,991362,70553,0.853181079
2013/10/30,2374.8,2391.8,2361.4,2400.8,813558,68037,0.853181079
2013/10/31,2391,2381,2365.2,2391,708038,64978,0.853181079
2013/11/1,2378.2,2391.4,2366.2,2398.4,680253,66181,0.853181079
2013/11/4,2393,2384,2374.6,2409.8,597017,68212,0.853181079
2013/11/5,2383,2381.4,2343.8,2389.6,721087,67716,0.853181079
2013/11/6,2383.8,2350.8,2347.8,2384.6,660725,71441,0.853181079
2013/11/7,2353,2349.4,2332.6,2359.2,697393,68538,0.853181079
2013/11/8,2341,2311.2,2307.4,2348.8,716121,71055,0.853181079
2013/11/11,2312.6,2319.2,2295.4,2325.6,641007,61518,0.853181079
2013/11/12,2324.8,2332.6,2317.4,2346,667948,52553,0.853181079
2013/11/13,2328.2,2294.4,2291.8,2329.4,545424,41369,0.853181079
2013/11/14,2296.6,2301.4,2285.4,2307.6,237983,20549,0.853181079
2013/11/15,2301.4,2359.8,2301.4,2373,98254,0,0.853181079
2013/11/18,2368,2415.6,2356.8,2422.6,919457,95371,0.858785493
2013/11/19,2418.4,2415.2,2403.2,2421,568402,90273,0.858785493
2013/11/20,2418,2430.2,2404.4,2441.8,717558,91286,0.858785493
2013/11/21,2423.8,2414.6,2386.2,2424.8,746656,88455,0.858785493
2013/11/22,2425,2407.2,2396.8,2433.6,740244,90821,0.858785493
2013/11/25,2400,2390.2,2381.2,2426.2,737849,96456,0.858785493
